date_releve;operateur;categorie;offre;debit_ou_data;appels_inclus;prix_dh_mois;remarques;source;fiabilite
2024-09-01;Maroc Telecom;Fibre;Fibre Optique 100M;100 Mb/s;Illimité vers Fixe national + jusqu'à 10h vers Mobile National et International Zone 1;500;Frais d'installation 200 DH TTC - engagement 12 mois - catalogue officiel Septembre 2024 (PDF archivé, tronqué puis réparé);https://web.archive.org/web/20241010id_/https://iam.ma/iam-public/catalogue-Fixe/CatalogueDesOffresFixeInternetResidentiels-Septembre2024.pdf;officiel_catalogue
2024-09-01;Maroc Telecom;Fibre;Fibre Optique 200M;200 Mb/s;Illimité vers Fixe national + jusqu'à 10h vers Mobile National et International Zone 1;1000;Frais d'installation 200 DH TTC - engagement 12 mois - catalogue officiel Septembre 2024 (PDF archivé, tronqué puis réparé);https://web.archive.org/web/20241010id_/https://iam.ma/iam-public/catalogue-Fixe/CatalogueDesOffresFixeInternetResidentiels-Septembre2024.pdf;officiel_catalogue
2022-07-01;inwi;Fibre;Fibre optique 20 Mega;20 Mb/s;;249;fiches produit boutique inwi (archive) - prix public;https://web.archive.org/web/20220709200711id_/https://inwi.ma/fibre-optique-20mbps.html;officiel_archive
2022-07-01;inwi;Fibre;Fibre optique 50 Mega;50 Mb/s;Illimité vers fixes nationaux + 3h vers mobiles nationaux;349;fiches produit boutique inwi (archive) - prix public - promo affichée 249 DH;https://web.archive.org/web/20220710013241id_/https://inwi.ma/fibre-optique-100mbps-2.html;officiel_archive
2022-07-01;inwi;Fibre;Fibre optique 100 Mega;100 Mb/s;Illimité vers fixes nationaux + 4h vers mobiles;449;fiches produit boutique inwi (archive) - prix public - promo affichée 349 DH;https://web.archive.org/web/20220709200622id_/https://inwi.ma/fibre-optique-100mbps.html;officiel_archive
2022-07-01;inwi;Fibre;Fibre optique 200 Mega;200 Mb/s;Illimité vers fixes nationaux + 4h vers mobiles;649;fiches produit boutique inwi (archive) - prix public - promo affichée 449 DH;https://web.archive.org/web/20220709200835id_/https://inwi.ma/fibre-optique-100mbps-4.html;officiel_archive
2023-05-01;Orange;Forfait mobile;Forfait YO 2Go + 1H 49 Dh;2Go;1H + illimité vers Orange;49;illimite reseaux sociaux - catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 11Go+1H 49 Dh;11Go;1H;49;WhatsApp illimité - catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 3h + 3Go 49 Dh;3Go;3H + illimité vers Orange;49;catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 20Go + 1H 99 Dh;20Go;1H;99;illimite reseaux sociaux - catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 11Go + 11H 99 Dh;11Go;11H + illimité vers Orange;99;catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 30Go + 3H 149 Dh;30Go;3H;149;illimite reseaux sociaux - catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 17Go + 17H 149 Dh;17Go;17H;149;catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 40Go + 5H 199 Dh;40Go;5H;199;illimite reseaux sociaux - catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
2023-05-01;Orange;Forfait mobile;Forfait YO 25Go + illimité 199 Dh;25Go;Illimité voix national;199;catalogue officiel Orange mai 2023 (PDF archivé, grille en image - OCR Gemini vérifié humainement) - frais de mise en service = 1 mensualité;https://web.archive.org/web/202306id_/https://www.orange.ma/content/download/184400/2954295/version/1/file/Catalogue+Mobile+Orange+-+Mai+2023+DEF.pdf;officiel_catalogue
